,pdb_code,no_folder,no_ptn_file,no_pck_file,no_lig_file_sdf,no_lig_file_mol2,empty_ptn_file,empty_pck_file,empty_lig_file_sdf,empty_lig_file_mol2,available,subset
19400,6u7p,False,False,False,False,False,False,False,True,False,True,general
19401,6u80,False,False,False,False,False,False,False,False,False,True,general
19402,6u8b,True,True,True,True,True,True,True,True,True,False,refined
19403,6u8l,False,False,False,False,False,False,False,False,False,True,general
19404,6u8o,True,True,True,True,True,True,True,True,True,False,refined
19405,6u9v,False,False,False,False,False,False,False,True,True,False,general
19406,6ud2,True,True,True,True,True,True,True,True,True,False,refined
19407,6udi,True,True,True,True,True,True,True,True,True,False,refined
19408,6udt,True,True,True,True,True,True,True,True,True,False,refined
19409,6udu,True,True,True,True,True,True,True,True,True,False,refined
19410,6udv,True,True,True,True,True,True,True,True,True,False,refined
19411,6udx,False,False,False,False,False,False,False,False,False,True,general
19412,6udy,False,False,False,False,False,False,False,False,False,True,general
19413,6ueg,True,True,True,True,True,True,True,True,True,False,refined
19414,6uf0,False,False,False,False,False,False,False,False,False,True,general
19415,6ufn,False,False,False,False,False,False,False,False,False,True,general
19416,6ufo,False,False,False,False,False,False,False,False,False,True,general
19417,6ugn,True,True,True,True,True,True,True,True,True,False,refined
19418,6ugo,False,False,False,False,False,False,False,False,False,True,general
19419,6ugp,True,True,True,True,True,True,True,True,True,False,refined
19420,6ugq,False,False,False,False,False,False,False,False,False,True,general
19421,6ugr,True,True,True,True,True,True,True,True,True,False,refined
19422,6ugz,True,True,True,True,True,True,True,True,True,False,refined
19423,6uh0,True,True,True,True,True,True,True,True,True,False,refined
19424,6uhu,False,False,False,False,False,False,False,True,False,True,general
19425,6uhv,False,False,False,False,False,False,False,False,False,True,general
19426,6uii,False,False,False,False,False,False,False,False,False,True,general
19427,6uil,False,False,False,False,False,False,False,False,False,True,general
19428,6uim,False,False,False,False,False,False,False,False,False,True,general
19429,6ul8,False,False,False,False,False,False,False,False,False,True,general
19430,6un1,False,False,False,False,False,False,False,False,False,True,general
19431,6un3,False,False,False,False,False,False,False,False,False,True,general
19432,6uvp,False,False,False,False,False,False,False,False,False,True,general
19433,6uvv,False,False,False,False,False,False,False,False,False,True,general
19434,6uvy,False,False,False,False,False,False,False,False,False,True,general
19435,6uwp,False,False,False,False,False,False,False,False,False,True,general
19436,6uwv,False,False,False,False,False,False,False,False,False,True,general
19437,6uyx,False,False,False,False,False,False,False,False,True,True,general
19438,6uyy,False,False,False,False,False,False,False,False,True,True,general
19439,6uyz,False,False,False,False,False,False,False,False,False,True,general
19440,6v1c,False,False,False,False,False,False,False,False,False,True,general
19441,6v5l,False,False,False,False,False,False,False,True,False,True,general
